GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Air Fuel Ratio(Measured)(:1),Engine Coolant Temperature(°C),Miles Per Gallon(Instant)(mpg),Engine RPM(rpm),Fuel used (trip)(gal),Acceleration Sensor(Total)(g),Relative Throttle Position(%)
Thu Feb 28 23:13:27 PST 2013,28-Feb-2013 23:13:27.209,-122.17706433507352,37.42541691874372,0.0,8.0,8.633264787280343,337.17694,2.79044199,6.80686522,1.37427175,-0.21811628,14.66007328,57,0,801,0.0024416,-0.23685567,3.13725495
Thu Feb 28 23:13:27 PST 2013,28-Feb-2013 23:13:27.702,-122.17706433507352,37.42541691874372,0.0,8.0,8.633264787280343,337.17694,2.70065951,7.94171667,-7.52018738,0.16739684,14.66007328,57,0,808,0.00251311,0.01480001,3.13725495
Thu Feb 28 23:13:28 PST 2013,28-Feb-2013 23:13:28.203,-122.17706433507352,37.42541691874372,0.0,4.0,8.633972439218923,337.17694,-6.25604916,4.2761941,7.27358484,0.08971983,14.66007328,57,0,812,0.00257672,0.07108565,3.13725495
Thu Feb 28 23:13:28 PST 2013,28-Feb-2013 23:13:28.705,-122.17706433507352,37.42541691874372,0.0,4.0,8.633972439218923,337.17694,0.31723171,1.32653737,0.9504981,-0.81153381,14.66007328,57,0,805,0.00264046,-0.85898221,3.13725495
Thu Feb 28 23:13:29 PST 2013,28-Feb-2013 23:13:29.203,-122.17706433507352,37.42541691874372,0.0,12.0,8.636507417454888,337.17694,0.76614451,2.12739778,2.9029696,-0.60590541,14.65289688,57,0,804.5,0.00269486,-0.62477726,3.13725495
Thu Feb 28 23:13:29 PST 2013,28-Feb-2013 23:13:29.703,-122.17706433507352,37.42541691874372,0.0,12.0,8.636507417454888,337.17694,0.72185183,2.14535427,2.9065609,-0.60546684,14.66007328,57,0,799,0.00276266,-0.62433857,3.13725495
Thu Feb 28 23:13:30 PST 2013,28-Feb-2013 23:13:30.205,-122.17706433507352,37.42541691874372,0.0,12.0,8.635296529224448,337.17694,0.71466923,2.1800704,2.94486809,-0.60046422,14.66007328,57,0,797,0.00283122,-0.61844152,3.13725495
Thu Feb 28 23:13:30 PST 2013,28-Feb-2013 23:13:30.703,-122.17706433507352,37.42541691874372,0.0,12.0,8.635296529224448,337.17694,0.69671267,2.199224,2.9137435,-0.60215843,14.66007328,57,0,806,0.00294855,-0.62102902,3.13725495
Thu Feb 28 23:13:31 PST 2013,28-Feb-2013 23:13:31.202,-122.17706433507352,37.42541691874372,0.0,12.0,8.629458364753834,337.17694,0.73980832,2.1860559,2.96881008,-0.59768522,14.66007328,57,0,809,0.00294855,-0.61816829,3.13725495
Thu Feb 28 23:13:31 PST 2013,28-Feb-2013 23:13:31.703,-122.17706433507352,37.42541691874372,0.0,12.0,8.629458364753834,337.17694,0.73142862,2.15971947,2.8802247,-0.6065287,14.66007328,57,0,799.5,0.00308173,-0.62272221,3.13725495
Thu Feb 28 23:13:32 PST 2013,28-Feb-2013 23:13:32.204,-122.17706433507352,37.42541691874372,0.0,12.0,8.622000807847153,337.17694,0.70988083,2.16570497,2.94965649,-0.60102475,14.66007328,57,0,804,0.00314481,-0.61989498,3.13725495
Thu Feb 28 23:13:32 PST 2013,28-Feb-2013 23:13:32.703,-122.17706433507352,37.42541691874372,0.0,12.0,8.622000807847153,337.17694,0.72783732,2.17408466,2.8862102,-0.60526091,14.66007328,57,0,801,0.00319277,-0.62249768,3.13725495
Thu Feb 28 23:13:33 PST 2013,28-Feb-2013 23:13:33.209,-122.17706433507352,37.42541691874372,0.0,16.0,8.615230759138194,337.17694,0.72065473,2.20999789,2.97599268,-0.59606254,14.66366291,57,0,793,0.0032541,-0.61493099,3.13725495
Thu Feb 28 23:13:33 PST 2013,28-Feb-2013 23:13:33.708,-122.17706433507352,37.42541691874372,0.0,16.0,8.615230759138194,337.17694,0.73741412,2.1884501,2.92332029,-0.60124069,14.65289688,57,0,799.5,0.00332263,-0.62011099,3.13725495
Thu Feb 28 23:13:34 PST 2013,28-Feb-2013 23:13:34.209,-122.17706433507352,37.42541691874372,0.0,16.0,8.61319003046427,337.17694,0.72185183,2.16570497,2.8826189,-0.60617137,14.66007328,57,0,779.5,0.00337342,-0.61782134,3.52941179
Thu Feb 28 23:13:34 PST 2013,28-Feb-2013 23:13:34.708,-122.17706433507352,37.42541691874372,0.0,16.0,8.61319003046427,337.17694,0.73741412,2.31534266,2.83593202,-0.60030872,14.66007328,57,0,755,0.00343093,-0.61917865,3.92156863
Thu Feb 28 23:13:35 PST 2013,28-Feb-2013 23:13:35.204,-122.17706433507352,37.42541691874372,0.0,16.0,8.614862107994746,337.17694,0.81642276,2.66489601,2.82874942,-0.57619357,14.66007328,58,0,765,0.00351665,-0.5955646,3.92156863
Thu Feb 28 23:13:35 PST 2013,28-Feb-2013 23:13:35.703,-122.17706433507352,37.42541691874372,0.0,16.0,8.614862107994746,337.17694,0.84156191,2.9940989,2.65636683,-0.56406558,14.66007328,58,0,803,0.00359165,-0.58292311,4.31372547
